City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
127,Bayan,CN,46.0833,127.4,74.73,87,100,6.17,overcast clouds,2021-07-30 05:08:22
128,Oudtshoorn,ZA,-33.5907,22.2014,48.56,76,46,2.15,scattered clouds,2021-07-30 05:08:23
129,Vestmannaeyjar,IS,63.4427,-20.2734,52.61,93,41,11.48,scattered clouds,2021-07-30 05:08:23
130,Guarabira,BR,-6.8547,-35.49,71.19,97,100,4.74,overcast clouds,2021-07-30 05:08:23
131,Guayape,HN,14.7167,-86.8333,68.36,92,93,2.91,overcast clouds,2021-07-30 05:08:24
132,Thompson,CA,55.7435,-97.8558,59.05,88,99,4.27,overcast clouds,2021-07-30 05:08:24
133,Codrington,AU,-38.2667,141.9667,55.8,64,46,23.15,scattered clouds,2021-07-30 05:08:24
134,Jerez,GT,14.1,-89.75,66.2,96,100,3.33,overcast clouds,2021-07-30 05:08:24
135,Ylojarvi,FI,61.5563,23.5961,64.62,85,0,9.22,clear sky,2021-07-30 05:08:25
136,Michigan City,US,41.7075,-86.895,72.0,91,40,3.44,scattered clouds,2021-07-30 05:08:25
137,Thinadhoo,MV,0.5333,72.9333,81.82,71,100,3.49,overcast clouds,2021-07-30 05:08:25
138,Egvekinot,RU,66.3167,-179.1667,34.79,95,100,2.44,light rain,2021-07-30 05:08:25
139,Lebu,CL,-37.6167,-73.65,48.13,85,2,7.11,clear sky,2021-07-30 05:08:26
140,Klaksvik,FO,62.2266,-6.589,49.12,89,100,16.8,overcast clouds,2021-07-30 05:08:26
141,Bambous Virieux,MU,-20.3428,57.7575,73.22,65,96,21.18,overcast clouds,2021-07-30 05:08:26
142,Nanakuli,US,21.3906,-158.1547,82.35,65,1,8.05,clear sky,2021-07-30 05:08:27
143,Vila Velha,BR,-20.3297,-40.2925,62.55,63,75,12.66,broken clouds,2021-07-30 05:08:27
144,Chivay,PE,-15.6383,-71.6011,41.02,65,5,1.86,clear sky,2021-07-30 05:08:27
145,Sao Filipe,CV,14.8961,-24.4956,74.26,80,39,3.58,scattered clouds,2021-07-30 05:08:27
146,Leningradskiy,RU,69.3833,178.4167,32.63,98,100,19.91,light snow,2021-07-30 05:08:28
147,Jiaojiang,CN,28.6803,121.4428,86.38,84,86,8.3,light rain,2021-07-30 05:08:28
148,Lethem,GY,3.3803,-59.7968,72.28,93,98,3.56,overcast clouds,2021-07-30 05:08:28
149,Nioro,GM,13.35,-15.75,75.34,91,100,3.83,overcast clouds,2021-07-30 05:08:28
150,Cooma,AU,-36.2333,149.1333,53.37,17,0,18.41,clear sky,2021-07-30 05:08:29
151,Kabelvag,NO,68.2114,14.4817,53.6,82,20,20.71,few clouds,2021-07-30 05:08:29
152,Pasinler,TR,39.9803,41.6764,65.39,65,13,3.83,few clouds,2021-07-30 05:08:29
153,Harper,LR,4.375,-7.7169,74.88,87,89,4.61,overcast clouds,2021-07-30 05:08:30
154,Tessalit,ML,20.1986,1.0114,85.8,37,44,7.74,scattered clouds,2021-07-30 05:08:30
155,Tulare,US,36.2666,-118.8009,81.95,35,61,1.99,broken clouds,2021-07-30 05:03:32
156,Wattegama,LK,6.7989,81.4808,88.72,38,63,1.66,broken clouds,2021-07-30 05:08:30
157,Belaya Gora,RU,68.5333,146.4167,60.01,35,46,4.5,scattered clouds,2021-07-30 05:08:31
158,Najran,SA,17.4924,44.1277,87.48,36,40,5.86,scattered clouds,2021-07-30 05:08:31
159,Quatre Cocos,MU,-20.2078,57.7625,73.09,65,92,20.92,overcast clouds,2021-07-30 05:08:31
160,Iracoubo,GF,5.4802,-53.2011,76.48,87,4,4.12,clear sky,2021-07-30 05:08:31
161,Umm Lajj,SA,25.0213,37.2685,87.17,47,67,4.79,broken clouds,2021-07-30 05:08:32
162,Longyearbyen,SJ,78.2186,15.6401,42.64,81,75,4.61,broken clouds,2021-07-30 05:08:32
163,Lagoa,PT,39.05,-27.9833,69.44,90,0,6.98,clear sky,2021-07-30 05:08:32
164,Seoul,KR,37.5683,126.9778,94.39,36,72,8.97,broken clouds,2021-07-30 05:04:07
165,Dustlik,UZ,40.5247,68.0358,89.2,19,19,10.4,few clouds,2021-07-30 05:08:33
166,Kruisfontein,ZA,-34.0033,24.7314,48.83,78,30,4.92,scattered clouds,2021-07-30 05:08:33
167,Tomsani,RO,44.95,26.2833,75.72,62,3,5.08,clear sky,2021-07-30 05:08:33
168,Korablino,RU,53.9164,40.0133,75.42,64,24,4.81,few clouds,2021-07-30 05:08:33
169,Avera,US,33.194,-82.5271,83.53,63,4,6.87,clear sky,2021-07-30 05:08:34
170,Armilla,ES,37.141,-3.6185,70.34,68,0,0.0,clear sky,2021-07-30 05:08:34
171,Maloy,NO,61.9353,5.1136,63.07,85,70,17.02,broken clouds,2021-07-30 05:08:34
172,Upernavik,GL,72.7868,-56.1549,43.48,90,98,5.77,overcast clouds,2021-07-30 05:08:34
